T,goal_x,goal_y,goal_deg,parked_x,parked_y,parked_deg,pos_err_m,yaw_err_deg,reversals,verdict,wall_s
1,9.70,-6.80,-90,9.426,-12.673,-173.2,5.880,-83.2,0,FAIL,NaN
2,9.70,-11.20,90,9.737,-11.187,-267.7,0.040,2.3,0,PASS,51
3,18.00,-6.80,-90,18.130,-6.962,-97.2,0.208,-7.2,5,PASS,48
4,18.00,-11.20,90,17.889,-11.175,-276.9,0.114,-6.9,0,PASS,50
5,44.80,-6.80,-90,0.809,-33.860,-410.9,51.647,39.1,0,FAIL,51
6,44.80,-11.20,90,44.915,-11.223,-263.2,0.117,6.8,2,PASS,48
7,40.00,-13.00,0,40.019,-13.104,-353.6,0.105,6.4,0,PASS,51
8,46.00,-13.00,180,0.809,-33.860,-410.9,49.773,129.1,0,FAIL,65
9,10.30,-21.80,90,10.136,-21.773,-279.4,0.166,-9.4,2,PASS,66
10,10.30,-17.50,-90,2.752,-36.386,-426.0,20.339,24.0,0,FAIL,34
11,21.30,-21.80,90,21.206,-21.782,-275.8,0.096,-5.8,0,PASS,65
12,21.30,-17.50,-90,21.185,-17.499,-83.1,0.115,6.9,4,PASS,80
13,44.30,-21.80,90,44.407,-21.790,-263.5,0.107,6.5,2,PASS,100
14,44.30,-17.50,-90,44.923,-20.969,-421.3,3.525,28.7,2,FAIL,55
15,9.86,-21.80,90,9.799,-21.762,-273.9,0.072,-3.9,2,PASS,83
16,9.80,-28.80,-90,9.724,-28.735,-445.7,0.099,4.3,2,PASS,50
17,9.80,-33.80,90,9.888,-33.785,-264.8,0.089,5.2,4,PASS,125
18,15.20,-28.80,-90,15.283,-28.743,-454.6,0.101,-4.6,4,PASS,88
19,15.20,-33.80,90,15.309,-33.820,-263.6,0.111,6.4,2,PASS,85
